
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/bullx.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/bloom.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/nova.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/maestro.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/gmgnai.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/moonshot.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/padre.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/photon.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/trojan.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/soltradingbot.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/vector.csv ---
2025-06-19T08:32:26.458Z - GET /api/data-update/status
2025-06-19T08:32:26.561Z - GET /api/data-update/status
Batch 1 inserted successfully! Rows inserted in this batch: 500
Batch 1 inserted successfully! Rows inserted in this batch: 151
All data from axiom.csv inserted successfully!
Total rows actually inserted for axiom.csv: 151
Batch 1 inserted successfully! Rows inserted in this batch: 151
All data from vector.csv inserted successfully!
Total rows actually inserted for vector.csv: 151
Batch 1 inserted successfully! Rows inserted in this batch: 200
All data from nova.csv inserted successfully!
Total rows actually inserted for nova.csv: 200
Batch 1 inserted successfully! Rows inserted in this batch: 253
All data from padre.csv inserted successfully!
Total rows actually inserted for padre.csv: 253
Batch 1 inserted successfully! Rows inserted in this batch: 254
All data from maestro.csv inserted successfully!
Total rows actually inserted for maestro.csv: 254
Batch 1 inserted successfully! Rows inserted in this batch: 410
All data from bullx.csv inserted successfully!
