formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
23/04/2024,4.920059425451206e+06,2339,196,18213
22/04/2024,5.328445438319427e+06,2081,176,16681
21/04/2024,2.419286669420057e+06,1774,142,14713
20/04/2024,2.0758012522356946e+06,1769,149,13813
19/04/2024,2.8605361305944803e+06,1939,190,15161
18/04/2024,2.0733137293442748e+06,1946,186,16116
17/04/2024,2.3905248189033363e+06,1837,132,17059
16/04/2024,2.5908576406023577e+06,2035,192,17195
15/04/2024,3.166846027650497e+06,2127,158,18098
14/04/2024,2.5236500510250907e+06,1722,114,14782
13/04/2024,3.7905052689898857e+06,1926,137,15929
12/04/2024,4.334016037088161e+06,2222,146,18655
11/04/2024,5.253486281320374e+06,2488,224,21278
10/04/2024,4.947097826595174e+06,2533,266,22325
09/04/2024,5.937570024091617e+06,2724,338,21805
08/04/2024,5.4298413183802245e+06,2660,294,21849
07/04/2024,8.091953070217966e+06,2746,260,25811
06/04/2024,5.849744641009319e+06,2538,202,26070
05/04/2024,7.317931933982266e+06,2786,282,26635
04/04/2024,9.634412731598727e+06,3266,372,29816
03/04/2024,9.878201544463953e+06,3337,390,30477
02/04/2024,1.0737904050379723e+07,3335,362,30850
01/04/2024,1.0872262123720385e+07,3466,376,40510
31/03/2024,7.969145381685579e+06,3182,385,34495
30/03/2024,8.406983074723212e+06,3080,391,31079
29/03/2024,8.363454301594833e+06,3212,513,32228
28/03/2024,7.977647396305215e+06,2968,268,28915
27/03/2024,8.163657455945173e+06,2809,247,27539
26/03/2024,1.7687210921474073e+07,3270,369,32191
25/03/2024,7.395550911127285e+06,3030,316,30572
24/03/2024,5.284172428370213e+06,2597,304,27293
23/03/2024,5.458052198948031e+06,2652,236,27363
22/03/2024,7.920814000461565e+06,3054,303,28835
21/03/2024,8.118223633998945e+06,3114,362,26998
20/03/2024,1.3994042108374234e+07,3175,391,28525
19/03/2024,2.4643907421647407e+07,3557,542,24741
18/03/2024,6.714692544977179e+07,4639,1035,37671
17/03/2024,2.9203925346763253e+07,3908,692,38515
