formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,_col5
17/12/2024,5.096605995130152e+06,2096,716,40220,50660.18209434375
16/12/2024,4.360678787361933e+06,1602,438,33168,43375.011424138065
15/12/2024,3.7377346441311985e+06,1540,425,31707,37223.41435371618
14/12/2024,5.216515139605759e+06,1600,527,41238,51943.878249005684
13/12/2024,5.476571048643561e+06,1401,375,37031,54553.596401713105
12/12/2024,4.458176415629218e+06,1403,404,31485,44366.88952490944
11/12/2024,4.608952553512753e+06,1525,508,33423,45800.81173884748
10/12/2024,4.5599814286028445e+06,1345,426,29124,45277.99245768047
09/12/2024,3.339628090201315e+06,1184,410,24270,33185.45056908382
08/12/2024,2.8438565993695846e+06,917,274,18204,28285.396011130375
07/12/2024,2.4577525530755958e+06,861,317,16888,24467.93650487843
06/12/2024,2.371186432462173e+06,815,247,15272,23562.295167742763
05/12/2024,2.3335080286265304e+06,836,332,16489,23192.289748920717
04/12/2024,2.486781663174237e+06,749,408,15534,24679.832590861195
03/12/2024,1.766710904931198e+06,563,431,12751,17569.723710772698
02/12/2024,508004.2872604876,212,167,4807,5045.363315001961
01/12/2024,487531.7081208135,71,65,2197,4815.9743633693215
30/11/2024,6331.667744093319,6,6,29,63.25234060693999
