formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
17/05/2024,3.0810098899626035e+07,16649,975,161217
16/05/2024,3.5644580085273996e+07,17037,1056,175918
15/05/2024,4.595035719234874e+07,18921,1081,206909
14/05/2024,4.904674763937226e+07,19802,1203,224195
13/05/2024,5.403247950350202e+07,18695,1148,219857
12/05/2024,3.201470959576387e+07,14867,818,170210
11/05/2024,2.5828891797341894e+07,13959,740,149763
10/05/2024,3.25599608287249e+07,15836,811,174699
09/05/2024,3.243251008303057e+07,16182,897,177768
08/05/2024,2.894243779873298e+07,16105,876,164713
07/05/2024,3.5757864504091166e+07,17632,986,185325
06/05/2024,3.276702037472189e+07,16637,1048,180955
05/05/2024,2.8159928480895445e+07,14701,819,156582
04/05/2024,2.7136620867727827e+07,15274,820,162457
03/05/2024,3.221684402626363e+07,15770,744,154330
02/05/2024,2.574416620055398e+07,14276,716,130968
01/05/2024,1.803167768744003e+07,12234,583,104992
30/04/2024,1.936499421935077e+07,13403,649,115209
29/04/2024,2.9101317369546004e+07,14584,716,126766
28/04/2024,2.0694284791307334e+07,13659,655,118643
27/04/2024,2.0327460508680105e+07,13845,688,121746
26/04/2024,2.963427214687159e+07,15837,819,140828
25/04/2024,3.406896788254145e+07,16187,880,139066
24/04/2024,3.473752714145042e+07,17263,924,141201
23/04/2024,3.369207982053528e+07,17776,1000,148186
22/04/2024,3.828670671500272e+07,17640,1102,145023
21/04/2024,2.293281570248246e+07,14835,824,124886
20/04/2024,1.9383398632342502e+07,15638,933,138998
19/04/2024,2.0936452595104475e+07,16750,997,140302
18/04/2024,2.0453701880737197e+07,16131,820,146444
17/04/2024,1.9513833369138945e+07,16043,766,141739
16/04/2024,2.0975851228201095e+07,16688,835,134858
15/04/2024,2.8576350694833495e+07,18949,1055,167635
14/04/2024,2.348420393248855e+07,17206,1203,151057
13/04/2024,3.3644828860990874e+07,19216,1165,176338
12/04/2024,4.566850968830989e+07,23814,1688,206490
11/04/2024,4.6996587115945704e+07,24925,1848,227476
10/04/2024,4.226720763683821e+07,25134,1884,230128
09/04/2024,6.056256781241996e+07,27260,2286,258457
08/04/2024,4.956270696885464e+07,26603,1882,233688
07/04/2024,5.718868138084891e+07,25924,1814,250057
06/04/2024,5.2652713566218704e+07,26313,2040,270762
05/04/2024,5.45876875288256e+07,28019,2400,267766
04/04/2024,7.179612234259021e+07,32713,3317,326365
03/04/2024,7.375865173743881e+07,32155,2599,329994
02/04/2024,9.560920754940414e+07,34067,2890,399167
01/04/2024,8.486612027999227e+07,34713,3032,423686
31/03/2024,8.410469425944743e+07,34071,2867,429131
30/03/2024,9.33949304867305e+07,34216,2918,424166
29/03/2024,7.752570590220614e+07,35664,2902,381240
28/03/2024,7.156351247761142e+07,34479,2863,388165
27/03/2024,8.152146467647046e+07,34109,2627,398443
26/03/2024,1.1671564936194645e+08,38282,4337,423888
25/03/2024,6.674733514274032e+07,34809,3265,389959
24/03/2024,5.2594150598075025e+07,30911,2810,383709
23/03/2024,6.0137276833834685e+07,32094,2912,376107
22/03/2024,7.754593154933238e+07,35257,3176,393589
21/03/2024,1.2827542583840503e+08,40662,4356,418115
20/03/2024,9.593942122106773e+07,36841,3902,378553
19/03/2024,1.8835602307799363e+08,41402,5501,382468
18/03/2024,2.741522964406069e+08,47982,8179,481570
17/03/2024,1.4302996458078516e+08,41542,6483,427187
16/03/2024,1.2396816389784344e+08,41819,5556,445755
15/03/2024,8.814602053266606e+07,40790,4782,447828
14/03/2024,8.62637826021094e+07,40462,4678,499156
13/03/2024,6.187727319913676e+07,36606,3842,479869
12/03/2024,5.688893182829712e+07,34405,3663,483025
11/03/2024,6.240307541166385e+07,36522,4661,554356
10/03/2024,6.118840356181612e+07,32777,4457,558510
09/03/2024,4.7499295391516216e+07,29431,3397,444980
08/03/2024,3.863775235694255e+07,26985,2780,377058
07/03/2024,3.67310606445719e+07,26365,2880,360230
06/03/2024,3.4730386960886724e+07,24776,2668,353229
05/03/2024,2.477279001168867e+07,20686,1720,246678
04/03/2024,2.6651876957639463e+07,21528,1835,250093
03/03/2024,2.8588555749154698e+07,19242,1553,240515
02/03/2024,2.0979858464565307e+07,16814,1164,209351
01/03/2024,1.4515189542947158e+07,14569,1007,159250
29/02/2024,1.2347665988076022e+07,12983,844,154454
28/02/2024,1.2515666826873448e+07,12496,756,155862
27/02/2024,1.1066922077002881e+07,11719,878,144698
26/02/2024,8.82865716356751e+06,11175,768,137623
25/02/2024,8.463469906565119e+06,10477,761,145278
24/02/2024,8.25049430855109e+06,10235,679,138088
23/02/2024,9.34111121692875e+06,11115,752,143521
22/02/2024,9.236772704251552e+06,11885,806,151321
21/02/2024,9.569313891386054e+06,11599,802,160605
20/02/2024,1.1458899924147168e+07,12561,783,168966
19/02/2024,1.375942992772338e+07,14049,1049,187292
18/02/2024,1.2288779035454422e+07,12865,852,181242
17/02/2024,1.3301031279026663e+07,13256,884,194409
16/02/2024,1.5264047855757698e+07,14472,925,213482
15/02/2024,2.1469850571587987e+07,16478,1194,247416
14/02/2024,1.6036393112504004e+07,14892,1076,201528
13/02/2024,1.6686984962326566e+07,15150,1117,221114
12/02/2024,2.143693350550174e+07,16497,1438,247046
11/02/2024,1.594688388607812e+07,15637,1281,218391
10/02/2024,1.3259769868781721e+07,15361,1156,236368
09/02/2024,1.1560026043973599e+07,16440,1137,162885
08/02/2024,1.3833846621314762e+07,17559,1142,201995
07/02/2024,1.7069629795707278e+07,19499,1488,250730
06/02/2024,1.782299188374072e+07,18955,1085,244947
05/02/2024,2.193342918222348e+07,21040,1463,315545
04/02/2024,2.4224658826861445e+07,21160,1482,332821
03/02/2024,2.458076531320919e+07,21088,1688,341989
02/02/2024,3.461982718679612e+07,24720,2036,401252
01/02/2024,5.472595268446879e+07,27808,2562,510572
31/01/2024,4.4611743394959256e+07,25515,1961,388603
30/01/2024,3.843646120538995e+07,24849,2104,407970
29/01/2024,3.617153031403412e+07,26074,1960,423961
28/01/2024,4.2956289656450026e+07,26397,2084,477810
27/01/2024,2.896611031906029e+07,25064,2029,377072
26/01/2024,3.658273755464135e+07,29240,2209,425171
25/01/2024,3.0829420928347517e+07,22516,1618,405201
24/01/2024,3.195141483159149e+07,22478,1506,416541
23/01/2024,2.6429839757764466e+07,21522,1313,366037
22/01/2024,2.924202515451481e+07,23382,1592,401092
21/01/2024,4.508966898676415e+07,25727,1952,469838
20/01/2024,4.219638230966386e+07,25226,2029,464555
19/01/2024,3.281084648958472e+07,22341,1707,393857
18/01/2024,3.722614282332111e+07,22848,1581,401424
17/01/2024,3.275826641328591e+07,21790,1400,367207
16/01/2024,3.714644075730558e+07,23292,1674,418964
15/01/2024,4.1670999094127506e+07,22876,1939,418227
14/01/2024,2.90588208732533e+07,20721,1672,340172
13/01/2024,2.30992923117076e+07,18101,1218,282410
12/01/2024,2.1038584204551063e+07,17118,1115,266140
11/01/2024,1.8927926376119956e+07,17513,1028,242478
10/01/2024,1.7513508076019134e+07,17128,1009,250999
09/01/2024,1.9835156030619416e+07,18665,1176,294545
08/01/2024,1.975006002029431e+07,18963,1196,298852
07/01/2024,1.974962165153405e+07,19209,1197,320123
06/01/2024,2.2438493712440528e+07,20419,1305,320652
05/01/2024,2.7838358313639518e+07,22395,1534,365138
04/01/2024,3.1169092861635882e+07,23561,1721,364880
