formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
28/12/2024,1.0424067019377025e+07,2620,463,1.0424067019377025e+07,0,0,2620,0,0,2157,93590.25513914949,494.3843912160006,0,0,51818,5253,23005,0,0,0,0
29/12/2024,1.2438851901385473e+07,2613,356,1.2438848505794464e+07,3.39559101,0,2612,1,0,2257,111317.50809021419,575.433877578001,-0.000999,0,51910,5429,23361,0,0,0,0
30/12/2024,1.154158936535106e+07,2586,338,1.153651068235247e+07,5078.682998591232,0,2585,1,0,2248,99398.79309442473,545.6562491330011,-1.5055608624708094,0,50384,5707,23699,0,0,0,0
31/12/2024,1.1722558410887973e+07,2462,288,1.1718286418911172e+07,4271.991976803931,0,2461,1,0,2174,99523.0757196589,540.616401129001,-1.2660132566218152,0,48701,6731,23987,0,0,0,0
01/01/2025,1.4491435932429036e+07,2632,408,1.4490276470793605e+07,1159.4616354298305,0,2631,1,0,2224,127638.63906643142,672.6226615790007,-0.3470816609417318,0,63560,7648,24395,0,0,0,0
02/01/2025,2.04596997043258e+07,3289,552,2.04576911634564e+07,2008.5408694002263,0,3287,2,0,2737,179043.2077456939,882.7102627870017,-0.5848049181482471,0,82278,9156,24947,0,0,0,0
03/01/2025,3.1022345152602192e+07,3852,828,3.1020462734147485e+07,1882.4184547076843,0,3851,1,0,3024,274034.1536417052,1288.1426612360024,-0.5358925781059156,0,103226,11952,25775,0,0,0,0
04/01/2025,2.1493187441200856e+07,3851,900,2.149267464872339e+07,512.7924774656759,0,3850,1,0,2951,188090.61384822163,871.9411420270003,-0.14088247822964792,0,92484,10069,26675,0,0,0,0
05/01/2025,2.771073053601604e+07,4095,933,2.7709820616619304e+07,909.9193967355823,0,4094,1,0,3162,246563.4739328231,1155.6100314070022,-0.2506660685716455,0,85698,9732,27608,0,0,0,0
06/01/2025,2.5933883452669896e+07,4332,1101,2.5930948034787245e+07,2935.417882653619,0,4330,2,0,3231,224645.99163615497,1046.1878714920056,-0.7966602766933794,0,102414,10658,28709,0,0,0,0
