formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
22/12/2024,1.0669454785732606e+07,3228,249,46876
21/12/2024,1.4914897392831378e+07,3325,265,51598
20/12/2024,1.6373639148423377e+07,3547,245,53754
19/12/2024,1.5602751409232598e+07,3947,411,54249
18/12/2024,1.6668710494388739e+07,3948,343,51409
17/12/2024,1.4083120506422354e+07,4380,489,49007
16/12/2024,1.5375730151142001e+07,3994,329,54735
15/12/2024,1.2613617650807021e+07,3586,266,47183
14/12/2024,1.658444665319727e+07,3683,286,50346
13/12/2024,2.1063224674736004e+07,3997,333,60001
12/12/2024,2.1374265111124557e+07,4201,354,61948
11/12/2024,1.921724587533485e+07,4234,373,58966
10/12/2024,1.6823728009423126e+07,4075,346,55661
09/12/2024,1.4940815753988659e+07,4084,363,51770
08/12/2024,1.1452877164598187e+07,3515,288,38893
07/12/2024,1.327410161472885e+07,3567,258,41304
06/12/2024,1.2259005041762603e+07,3832,374,43555
05/12/2024,1.3578789609749403e+07,4149,341,49426
04/12/2024,1.364790728763453e+07,4330,414,47536
03/12/2024,1.576085245782294e+07,4486,441,54134
02/12/2024,1.593177206757104e+07,4497,429,58274
01/12/2024,1.4881209866620814e+07,4232,350,53684
30/11/2024,1.5145127148296628e+07,4340,411,58217
29/11/2024,1.9048177419954706e+07,4865,529,65738
28/11/2024,2.3219166240925156e+07,5349,580,77328
27/11/2024,2.495546827791492e+07,5265,547,84717
26/11/2024,2.136594955064459e+07,5158,540,80364
25/11/2024,2.5611433064502433e+07,5441,562,81151
24/11/2024,2.3130604745161638e+07,5020,453,76055
23/11/2024,2.669570698827719e+07,5410,562,78720
22/11/2024,3.7460437558184e+07,6026,701,105948
21/11/2024,3.673374175081731e+07,6313,764,101162
20/11/2024,4.381773242299802e+07,6966,1075,137429
19/11/2024,4.2592609917851396e+07,6360,833,114167
18/11/2024,3.9872417723430976e+07,6475,975,121573
17/11/2024,3.9531200212127715e+07,5846,769,111464
16/11/2024,2.4491784536118463e+07,5216,584,82279
15/11/2024,3.0676698493077047e+07,5826,773,93811
14/11/2024,3.0862711250329986e+07,5738,882,91646
13/11/2024,2.6552171048429575e+07,5239,696,78812
12/11/2024,1.9722941310130563e+07,4361,523,63436
11/11/2024,2.0799823348158535e+07,4401,593,64350
10/11/2024,1.197229414926446e+07,3577,346,44272
09/11/2024,9.909930041819563e+06,3385,287,45141
08/11/2024,1.4039336046195311e+07,3911,504,54876
07/11/2024,1.270035954814432e+07,3759,428,52255
06/11/2024,1.250761047865294e+07,4051,446,57717
05/11/2024,8.82787853952597e+06,3609,373,47414
04/11/2024,9.771177472967379e+06,3533,363,52622
03/11/2024,1.3354224070749775e+07,3385,373,54893
02/11/2024,1.1483520383774554e+07,3229,385,45741
01/11/2024,8.669655328091517e+06,3265,355,45001
31/10/2024,1.0759274677653244e+07,3586,424,51164
30/10/2024,1.116916225344791e+07,3592,471,51103
29/10/2024,1.3685758824115187e+07,3758,454,58372
28/10/2024,1.0477816923522566e+07,3497,391,52929
27/10/2024,1.1055224932381533e+07,3190,331,49974
26/10/2024,1.0315880139496163e+07,3108,316,46357
25/10/2024,1.4168586955662856e+07,3642,475,55756
24/10/2024,2.2526540968855396e+07,3922,558,66593
