formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,baseVolumeUSD,avalancheVolumeUSD,bscVolumeUSD,arbitrumVolumeUSD,ethereumNumberOfUsers,baseNumberOfUsers,avalancheNumberOfUsers,bscNumberOfUsers,arbitrumNumberOfUsers,numberOfReturningUsers,numberOfTrades,numberOfPairs,buyVolumeUSD,sellVolumeUSD,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
29/03/2025,6.847733084443163e+06,2104,118,398763.588668263,2.239392986641585e+06,1845.3948060714117,4.207731114327243e+06,0,245,925,6,1173,0,1986,19042,868,2.907725097792901e+06,3.9400079866502658e+06,224955,0,0,0,0
30/03/2025,5.698295911982362e+06,2233,175,357377.869927413,1.5741872633310393e+06,1089.3603650400958,3.7656414183588726e+06,0,308,837,7,1367,0,2058,17351,839,2.5585178912315234e+06,3.1397780207508393e+06,225130,0,0,0,0
31/03/2025,7.285278851032893e+06,2477,239,1.0384954364126353e+06,2.985185862066301e+06,1294.636807335233,3.260302915746619e+06,0,545,1061,6,1232,0,2238,20246,1020,3.298116989048308e+06,3.9871618619845808e+06,225369,0,0,0,0
01/04/2025,4.874375628364569e+06,2198,141,937644.8724491278,2.1109831457734234e+06,899.908266485766,1.8248477018755327e+06,0,533,988,4,1007,0,2057,15627,999,2.277057260408181e+06,2.5973183679563873e+06,225510,0,0,0,0
02/04/2025,5.411907188074502e+06,2103,183,469981.7578553399,2.8275304177154545e+06,7266.660473105307,2.107128352030602e+06,0,438,915,6,958,0,1920,14495,954,2.485937213696671e+06,2.925969974377829e+06,225693,0,0,0,0
03/04/2025,3.2144022866710634e+06,1782,191,420945.2204697742,1.5127042853621584e+06,4610.300498886174,1.2761424803402438e+06,0,364,791,9,789,0,1591,11253,897,1.4434836420110627e+06,1.7709186446599998e+06,225884,0,0,0,0
04/04/2025,2.757701822424907e+06,1698,231,865867.8938807163,969554.353887783,3505.0378468943277,918774.5368095147,0,432,685,9,718,0,1467,9545,679,1.2893837496001278e+06,1.4683180728247797e+06,226115,0,0,0,0
05/04/2025,2.343265801171563e+06,1448,153,786286.5717598555,877809.2199490549,7.950195,679162.0592676532,0,446,582,1,550,0,1295,8426,708,1.0661541763510783e+06,1.2771116248204857e+06,226268,0,0,0,0
06/04/2025,2.250113275003279e+06,1506,161,601854.5283649295,913483.8751033489,2317.803298985076,732457.0682360154,0,418,667,9,542,0,1345,8068,735,1.0094444413741656e+06,1.2406688336291134e+06,226429,0,0,0,0
07/04/2025,2.7426197354591065e+06,1682,92,793941.2926342842,1.3245251157999805e+06,5905.476060377657,618247.8509644642,0,497,849,10,493,0,1590,10746,752,1.1905646891172263e+06,1.5520550463418807e+06,226521,0,0,0,0
08/04/2025,3.129368534152356e+06,1831,209,737546.9273479439,1.9756430068214007e+06,513.4041,415665.1958830126,0,526,1064,8,408,0,1622,14330,739,1.4573283338559507e+06,1.6720402002964057e+06,226730,0,0,0,0
09/04/2025,2.803990023362155e+06,1728,168,801022.4161220986,1.6717964530123286e+06,40067.26910253476,291103.88512519264,0,656,851,35,359,0,1560,10571,859,1.3294669121235234e+06,1.4745231112386303e+06,226898,0,0,0,0
10/04/2025,2.6448076274704686e+06,1691,134,917705.2060515198,1.2569363667747169e+06,11082.528261642125,459083.52638258936,0,583,882,13,409,0,1557,11038,813,1.1789803017662985e+06,1.4658273257041697e+06,227032,0,0,0,0
11/04/2025,2.398048950473082e+06,1549,176,692482.1633620163,1.1645221469659486e+06,640.7652925771769,540403.8748525389,0,554,745,14,388,0,1373,10338,794,1.0962940249220813e+06,1.3017549255509996e+06,227208,0,0,0,0
12/04/2025,2.013487916927812e+06,1511,123,494362.84489902377,858970.0756422855,282.00149999999996,659872.9948865029,0,517,648,1,470,0,1388,6507,654,897350.5576222864,1.116137359305526e+06,227331,0,0,0,0
13/04/2025,1.8626443300751229e+06,1240,129,405066.34952898003,1.1591250820171086e+06,969.9760209907953,297482.9225080439,0,388,646,4,285,0,1111,6029,606,752074.9231649283,1.1105694069101948e+06,227460,0,0,0,0
14/04/2025,2.8289733430022732e+06,1802,323,459067.64110296674,1.0031165594596057e+06,1067.5889052589257,1.365721553534444e+06,0,589,748,13,612,0,1479,10481,730,1.2079000874822116e+06,1.621073255520063e+06,227783,0,0,0,0
15/04/2025,3.8820256185833644e+06,1897,255,412756.3983667106,1.8193617121582343e+06,1060.6076744017942,1.6488469003840198e+06,0,411,918,2,763,0,1642,12795,813,1.6924948319860764e+06,2.189530786597288e+06,228038,0,0,0,0
16/04/2025,9.232793075541731e+06,2221,188,295288.6812809782,8.00535105225816e+06,0,932153.3420025962,0,373,1527,0,560,0,2033,20219,901,3.68362891548711e+06,5.549164160054623e+06,228226,0,0,0,0
17/04/2025,8.027020948813629e+06,2348,199,330393.53911467135,6.770720906517311e+06,1005.8068598616113,924900.6963217857,0,385,1661,4,563,0,2149,29165,1254,3.440108717692049e+06,4.586912231121582e+06,228425,0,0,0,0
18/04/2025,5.634142196835578e+06,1885,158,291483.911187783,4.515905049705385e+06,135.78960205401006,826617.4463403571,0,301,1406,3,354,0,1727,17392,1117,2.4763816538733374e+06,3.1577605429622415e+06,228583,0,0,0,0
19/04/2025,2.673268490696033e+06,1376,60,234608.5079197525,2.117519385789369e+06,1632.2797844759798,319508.3172024353,0,206,990,3,271,0,1316,11558,776,1.1785770827448047e+06,1.4946914079512272e+06,228643,0,0,0,0
20/04/2025,3.350506854294339e+06,1578,117,364999.66633966775,1.7777868930924442e+06,960.3,1.2067599948622286e+06,0,292,1007,1,422,0,1461,12489,830,1.4498475789539828e+06,1.9006592753403555e+06,228760,0,0,0,0
21/04/2025,3.7395802079928597e+06,1647,86,420769.7096241534,3.0300180042265626e+06,508.36499999999995,288284.12914214213,0,323,1224,1,238,0,1561,15466,992,1.7980789741752567e+06,1.941501233817602e+06,228846,0,0,0,0
22/04/2025,5.2863148426409345e+06,2105,146,353792.7959331847,3.8639673006665297e+06,379775.3202933097,688779.425747914,0,415,1401,225,345,0,1959,19802,1092,2.474871867787256e+06,2.81144297485368e+06,228992,0,0,0,0
23/04/2025,7.316682724442235e+06,2711,313,534753.7342968632,5.3584022190653905e+06,1.1332546518730083e+06,290272.1192069743,0,427,1939,383,210,0,2398,16656,1038,2.616814143826496e+06,4.699868580615744e+06,229305,0,0,0,0
24/04/2025,4.34994956668782e+06,1925,161,1.4492943692199846e+06,2.442159157506222e+06,165514.32687600385,292981.71308560856,0,620,1238,78,190,0,1764,13035,923,1.819979991840938e+06,2.52996957484688e+06,229466,0,0,0,0
25/04/2025,5.683589837242345e+06,1902,165,763593.0940648511,4.210411205666007e+06,11574.165802129774,698011.3717093574,0,520,1253,22,301,0,1737,16252,968,2.499861564595402e+06,3.1837282726469426e+06,229631,0,0,0,0
